Infec_mean,Infec_lb,Infec_ub
0.0,0.0,0.0
0.42991139991087735,0.21116714388092403,0.6503465902404433
1.1353886327789096,0.6644516896602592,1.5918846900875947
2.0684853138652888,1.2963859233398316,2.8137554546124055
3.2190188476410713,2.0919388535782977,4.294597507135342
4.599777573168764,3.0904836255116717,6.0681686229024185
6.2402639067013785,4.2706920485691615,8.221960880364822
8.180442823391923,5.584785852214448,10.754216578201373
10.474789397396808,7.282882113457889,13.6570523068871
13.179377897674923,9.321829953633403,17.142396240127017
16.363385485148566,11.714975950479346,21.22205012877577
20.1258552891203,14.666873398796332,25.929682527187797
24.560511517945137,18.11310700127866,31.457421765677882
29.785594316988018,22.431292927794896,37.905091276287514
35.95157434592835,26.651478293481773,45.3746819791326
43.22254877319395,31.403061124935668,54.447521223711355
51.792979281141946,36.30725330209379,64.92359301412871
61.874890495512005,42.35544724387075,77.35329806443656
73.69124471902906,49.82549114893418,91.6348001037594
87.42650023376228,59.69189572523804,108.03677452561216
103.21455751949526,72.32449509214342,127.1105954855264
121.1048868399009,89.65340537648595,148.48250584117764
141.1282862078513,108.3192589521446,171.60392473562518
163.33726755941032,130.3718912431072,196.53434107534915
187.76669928467123,155.08524152095916,223.67703575366872
214.409912260183,183.41964151184916,251.98222979223976
243.089487572123,212.99175603295419,281.61424267773134
273.76763447911316,243.40530662980018,309.94915183337554
306.5404448251624,275.2194472498429,342.37442519484347
341.4812539000714,308.4245647456785,375.85761640654556
378.73102292060815,343.83947313812564,412.50774699467
418.49536877103696,382.74701588822495,451.6154362857485
460.99412325420474,422.93550465230635,497.00516828452817
506.4514477539695,466.51619439951475,545.7219564472825
555.0890919520355,512.4412390414241,597.6931733444072
607.149047247175,561.8533346123978,653.657731902531
662.8774801185019,615.827408223431,713.2765399010705
722.5182232813689,674.4097557766512,776.6185397201042
786.3855202546137,736.6348571151726,843.8248809348006
854.7236597820508,801.3465681416502,913.9553867885913
927.8874350574371,871.1347063046994,989.0426871777574
1006.2291743072536,947.7325818169854,1069.4386968553224
1090.082040614872,1030.5351936091859,1155.0240555140795
1179.8460707780573,1119.8251496272596,1246.298330536862
1275.9467390642885,1216.1060704721165,1343.6219268311384
1378.830055923768,1319.418486057366,1447.2229351027136
1488.9767782003726,1429.5620865973399,1557.692979033796
1606.902439614601,1546.603913064407,1677.9803692828752
1733.1522046466243,1674.5481887363171,1804.4315631714217
1868.3138018756729,1809.5587743989413,1937.4334531742427
2013.0180233409415,1948.757729375978,2085.7206969837202
2167.940386349579,2106.8956879271163,2238.7967582116735
2333.8006634970016,2267.235711818394,2401.730868603357
2511.3719791044296,2441.543932524556,2573.8758375648104
2701.4806608578533,2627.1767298978757,2766.0978219641165
2905.0124734246924,2818.654915257332,2975.090772215221
3122.915232004344,3022.3744021616567,3208.7726870681295
3356.204416210445,3236.3759386985826,3462.757209723242
3605.9632659817544,3465.9158512961185,3737.6460816133886
3873.3596117252337,3710.1537765539006,4033.63147112573
4159.63077757246,3969.4401445363847,4352.6668987815
4466.112463392859,4244.361028389799,4681.7873862270235
4794.227278191556,4531.998643315685,5042.416730354431
5145.494072557433,4838.011665556598,5441.382605148111
5521.540458459254,5164.125697417164,5876.644540017403
5924.11769044642,5507.508894938526,6338.038526206812
6355.080657816876,5872.271200809755,6827.8218763070545
6816.43077577008,6259.725539653581,7367.34889151195
7310.290964562062,6664.772865963274,7942.840412471582
7838.944567369766,7081.226413098992,8557.215493379035
8404.825119013729,7530.505168251078,9217.926026436187
9010.536707856938,8013.346441702999,9928.333789763476
9658.863802435115,8530.969423217468,10692.10167042802
10352.777443091216,9071.570102167561,11513.832788110049
11095.453735118715,9656.732361674387,12401.771788741049
11890.283518286065,10277.887352561353,13359.558820850729
12740.888660513627,10936.210850768051,14389.604052477896
13651.135274726497,11621.302455889658,15497.210096730214
14625.147607388533,12346.286020813986,16688.521087564255
15667.328159442874,13108.427406416136,17971.192303635624
16782.3746241268,13912.382397778236,19350.14494942186
17975.28998448881,14762.243061257639,20832.393083497176
19251.410956293894,15667.589911445872,22425.443450717292
20616.41948319623,16615.585710610452,24137.30192445636
22076.369268721992,17625.120952055033,25976.521670176608
23637.703726036245,18691.95879381735,27952.247052516843
25307.278841472264,19819.10670642348,30070.278024327803
27092.384559534003,21009.701155159157,32337.72230517269
29000.76907005657,22267.04384265639,34771.41170609958
31040.66181682722,23594.571962550297,37382.99071345165
33220.797507200296,24995.86163844663,40184.871867674505
35550.442565650585,26474.683085872563,43190.21675197274
38039.41727869639,28034.97847981189,46413.03370436579
40698.119520622655,29680.867433044546,49868.17065209911
43537.552906210745,31416.669157425782,53571.35010774607
46569.34651511122,33246.90212014488,57539.22814911291
49805.781328283294,35176.308154033395,61789.41719652893
53259.80941290435,37209.849511519205,66341.72849616793
56945.07611748447,39352.74983084101,71219.16948955182
60875.93736071327,41610.4839185544,76438.4655223872
65067.47488252377,43988.82414527138,82021.37478439776
69535.50798370478,46493.86222545328,87990.7221211704
74296.60345973608,49132.01315364156,94370.41126678014
79368.078859431,51910.09804925736,101185.42435350841
84767.99983804133,54835.2930860119,108461.79541711765
90515.17236636573,57915.217849955865,116226.60694189531
96629.12995293418,61158.012461129896,124507.93339078545
103130.11287713476,64572.333183453586,133334.81915157396
110039.02777754297,68167.43073927531,142737.19301350598
117377.41191790468,71953.20279607049,152745.7756492985
125167.37407248902,75940.26161354608,163392.00750323245
133431.5297335333,80208.48084845455,174707.86287575352
142192.9196465028,84717.9355731334,186725.75861690225
151474.91299208728,89475.54313288527,199478.32344124507
161301.0997152432,94496.08021669868,212998.26205697918
171695.15578599606,99795.43279834162,227318.0549090212
182680.69806885507,105390.61097313787,242469.7389337325
194281.11858494527,111299.87148280202,258484.5758779394
206519.40438351422,117542.74322722259,275392.7649519653
219417.92990752816,124140.09808262342,293223.0508772442
232998.24204064155,131114.16611832564,312002.37529378413
247280.81672173785,138488.56674524338,331755.43745498837
262284.8065130946,146288.36966409386,352504.2790974397
278027.7778165752,154540.0231197455,374267.8318771963
294525.42485768185,163271.27528975863,397061.42576878716
311791.2830854482,172511.08273096388,420896.34364345623
329836.4392050429,182289.5043257963,445779.3249424186
348669.23479076935,192637.54224886192,471712.1226214659
368294.9794770256,203586.82547958707,498691.03313924663
388715.6718657226,215169.33265159946,526706.4786722449
409929.73837570124,227417.1148070724,555742.6408614179
431931.78765854443,240361.82689076778,585777.1048586969
454712.40306866396,254034.30469502445,616780.6163258497
478257.96196944726,268464.0555468444,648716.8854417686
502550.4989491004,283678.712615428,681542.4665044908
527567.6158228017,299703.4685592016,715206.7585145083
553282.4395017183,316560.47367110266,749652.0832844638
579663.6358287976,334268.2394887607,784813.8758622899
606675.4839270201,352841.0761663782,820620.9960523915
634278.0054313904,372288.44235624175,856996.1306930147
662427.1607753382,392614.52527098026,893856.3346743345
691075.0965379099,413817.7321024781,931113.6512276144
720170.4544689839,435890.32268988335,968675.81797123
749658.7306945019,458818.11502798117,1006447.1087317275
779482.6866918645,482580.30750617845,1044329.1834266764
809582.7929561614,507149.3998614171,1082222.0332347662
839897.7107052295,532491.2501536519,1120024.97758755
870364.7989346388,558565.2405229744,1157637.6062289285
900920.6348458272,585324.5565229142,1194960.7924937324
931501.5423787964,612716.6095420453,1231897.6703835898
962044.1194047384,640683.5393001542,1268354.5707249886
992485.7462781471,669162.7923330845,1304241.8855660749
1022765.0843826486,698087.818462133,1339474.8826084912
1052822.53875154,727388.7956346618,1373974.414923263
1082600.6898986502,756993.400939457,1407667.5444477457
1112044.6822601687,786827.6129915043,1440488.0374965058
1141102.574816718,816816.5251956822,1472376.7897908324
1169725.6344901887,846885.1169189054,1503282.1004951643
1197868.5830327405,876959.0127538937,1533159.8447881541
1225489.7946875857,906965.2313592742,1561973.541827936
1252551.438505834,936832.8199312043,1589694.2981589236
1279019.5739172844,966493.4544224443,1616300.6710352418
1304864.19780016,995881.9776589611,1641778.437270746
1330059.2443544876,1024936.8503938203,1666120.2789872643
1354582.5452677784,1053600.5226938822,1689325.4017053125
1378415.753190681,1081819.7265639564,1711399.106402234
1401544.231175025,1109545.6909140048,1732352.3122644345
1423956.911484572,1136734.290746986,1752201.0460990504
1445646.130374557,1163346.1286907946,1770965.9116600878
1466607.44800309,1189346.537851231,1788671.5578831378
1486839.4458800836,1214705.5324361618,1805346.1337748447
1506343.5163423829,1239397.7118161134,1821020.772697709
1525123.6443952636,1263402.1343666492,1835744.4922834942
1543186.1855351957,1286702.1200349329,1849576.0163399044
1560539.6425851283,1309285.07313782,1862513.9828137513
1577194.4451919396,1331142.2060384464,1874596.4016340734
1593162.7302260164,1352268.3232195734,1885861.9767013746
1608458.13412947,1372661.5579052928,1896349.7503901562
1623095.5891914354,1392323.097234898,1906098.7832699516
1637091.1326962844,1411256.918333265,1915147.8719426424
1650461.723356036,1429469.5189488379,1923535.29729934
1663225.0703295819,1446969.6524167305,1931298.6077945523
1675399.4767044,1463768.0750490595,1938474.4448004004
1687003.6894025516,1479877.2974162376,1945098.382018355
1698056.7653420898,1495311.3483506786,1951204.8112936087
1708577.9500420608,1510085.554033778,1956826.847819664
1718586.5665465107,1524216.3329525262,1961996.2583334611
1728101.9137438159,1537720.9933924964,1966743.4008407677
1737143.1799705492,1550617.5724745523,1971097.2179690502
1745729.363387916,1562924.6491172584,1975085.2051536168
1753879.2053205925,1574661.2038464656,1978733.4144684442
1761611.1306736465,1585846.4833493654,1982066.4726992024
1768943.1957124486,1596499.87853339,1985107.5980798379
1775893.0466816865,1606640.8088654676,1987878.6348958327
1782477.884464426,1616288.6334129858,1990400.0987372375
1788714.4361939372,1625462.5584743258,1992691.2140637308
1794618.9322008402,1634181.5686567535,1994769.960144637
1800207.0893601382,1642464.3623362018,1996653.138645207
1805494.0977219914,1650329.2905626963,1998356.4057107968
1810494.6128240942,1657794.3111094064,1999894.3418307735
1815222.7528868446,1664876.956285667,2001280.5056925537
1819692.097311267,1671594.2941141038,2002527.4818731262
1823915.6891203634,1677962.9138833168,2003646.947913474
1827906.0397639775,1683998.8959175402,2004649.717334562
1831675.1359782156,1689717.8046370158,2005545.7923328332
1835234.449103342,1695134.6697025641,2006344.4252730277
1838594.945684261,1700263.9893373104,2007054.1543065808
1841767.099925676,1705119.732434344,2007739.0316025112
1844760.9048931675,1709715.3244088264,2008382.0053756621
1847585.8880487909,1714063.6665570734,2008954.452834128
1850251.124044488,1718177.1255862936,2009462.6117572277
1852765.2512892117,1722067.561363334,2009912.2288813847
1855136.4857501169,1725746.3215490838,2010308.5736793058
1857372.6369991037,1729224.2602685692,2010656.5037780516
1859481.1245601247,1732511.7481002875,2010960.478006567
1861468.9915328666,1735618.6866059399,2011224.5948938522
1863342.9208998403,1738554.518405093,2011452.6118975175
1865109.2515254046,1741328.2485635895,2011647.979989444
1866773.9906927885,1743948.4499454838,2011813.8560772887
1868342.8308252774,1746423.2871798084,2011953.1337035252
1869821.162703404,1748760.523370115,2012068.4580518012
1871214.0902721104,1750967.5414140616,2012162.2518777004
1872526.443189167,1753051.3629501744,2012236.7304533324
1873762.7908252443,1755018.6615502744,2012293.9110817348
1874927.4547691788,1756875.7659211229,2012335.6381740756
1876024.5200724655,1758628.6695958015,2012363.593182275
1877057.846997166,1760283.0660298972,2012379.3052058658
1878031.08371526,1761844.3647266633,2012384.1699964358
1878947.675216294,1763317.6832251477,2012379.4546844568
1879810.8766546592,1764707.8759119269,2012366.3146507265
1880623.7600857692,1766019.5409932937,2012345.7973436688
1881389.2255438217,1767257.0294612427,2012318.8495757354
1882110.0104706204,1768424.462772528,2012286.3285325095
1882788.6990446704,1769525.7430643488,2012249.0088117735
1883427.727977552,1770564.5540202097,2012207.5963701347
1884029.3960058542,1771544.3951851658,2012162.7145476928
1884595.868331336,1772468.5549289973,2012114.933455944
1885129.1915737959,1773340.1608120012,2012064.7894360744
1885631.2924053199,1774162.1717716784,2012012.732248568
1886103.98818888,1774937.3753218073,2011959.169388275
1886548.992110982,1775668.4062855376,2011904.4732929526
1886967.9189597897,1776357.7550657163,2011848.9889776642
1887362.287736833,1777007.772716748,2011792.9955199594
1887733.5336138115,1777620.6902592224,2011736.7571282014
1888083.0075967044,1778198.6040222053,2011680.5031396886
1888411.981995208,1778743.4965185751,2011624.437928546
1888721.6566512147,1779257.2421765847,2011568.7402851668
1889013.1603955682,1779741.6080929753,2011513.5602215454
1889287.5570297947,1780198.2632658537,2011459.038761439
1889545.849002713,1780628.7823933286,2011405.290399559
1889788.979877754,1781034.6535521275,2011352.4192360267
1890017.8374644765,1781417.278500657,2011300.5280713362
1890233.2594297489,1781777.9811845478,2011249.6739902615
1890436.0336047707,1782118.0197368832,2011199.9207961315
1890626.9021977282,1782438.5688476407,2011151.3139600568
1890806.5632202984,1782740.7390359088,2011103.8920970275
1890975.674558248,1783025.581603379,2011057.6845033425
1891134.856026274,1783294.0850953567,2011012.7138867665
1891284.6906281551,1783547.1762467718,2010968.9966624572
