exposed_mean,exposed_lb,exposed_ub
5.271466329290375,0.8748662473772546,9.801748801384758
11.62045503951421,6.880598963410456,16.162082292398882
16.432771943404596,10.52647316702058,21.986595910239494
20.752857853413992,13.726643151720383,27.902112792478313
25.16346531770424,16.782603778277192,33.75651459453425
30.027615932210516,20.15260309931893,39.55956539889485
35.581407885979075,24.55205642484252,46.534529512493236
42.03114158516319,29.726350994630025,54.8076997650084
49.597699469750715,36.171964511723445,64.11473610585111
58.48929046794255,43.82888656462467,74.798813419871
68.95864880891845,50.46403544589483,87.2156574587585
81.34697592788207,58.01301149647094,102.30926392733478
95.9689368088252,65.80264342750397,120.0770203827794
113.22797263297112,75.51951106301517,141.44179031698337
133.63510145211245,84.18681701034154,165.8091250697945
157.68354066072882,92.93151079039406,195.9711839399413
185.63815869853266,109.51945957976211,231.13939010214386
218.11071232398174,131.13332971234485,271.8632779912799
254.86110378463403,156.1620564906975,318.57422594617566
294.4900164435639,203.11776754581183,367.83452985351846
336.6109362595988,248.35996177810273,418.3493400780448
378.879740858669,291.3685712568969,462.1196748588981
421.9080492963541,343.65520302228504,501.80419908032644
466.2137149174828,382.4365040956019,545.1730226136448
511.0761627637294,412.8120676671584,585.7994650777839
553.7345011000526,446.3798178802139,636.9039658228271
593.3367448560905,483.1996620884965,677.8729234404728
634.1022582540128,519.3877237640985,719.6539305229068
676.6738896206865,559.0668578028949,761.8802967018237
721.2756059748924,619.3372520723018,804.7842651733489
769.222106897936,668.9972737510244,850.8390387557073
821.7478253407108,727.3210386296216,902.48672319438
878.711576761327,788.7364078371959,958.5265812312479
940.1027891024547,852.0577337492208,1018.4971287244755
1006.0510415930173,919.6489835811944,1082.683182412955
1076.7912770680018,992.7945243318661,1151.1127020543809
1152.6083528930956,1070.4864476120176,1224.5918083940937
1233.8071029770797,1156.5375411216503,1306.1352712336254
1320.803045998586,1248.6275507219807,1394.5176692387943
1413.9224539875288,1344.5243663800677,1484.9567488332455
1513.6449770518036,1444.8037473932982,1583.0011350678808
1620.4458353691618,1563.7993306060896,1685.9056109463045
1734.7791062330948,1674.9330170507667,1793.8098666897179
1857.1898907887191,1793.0921333263802,1916.2002691745806
1988.2557076975127,1920.5079020246642,2050.5305297765713
2128.5875794150493,2054.1859810376554,2199.939942339621
2278.8368708911958,2195.8212341230524,2355.4218441489415
2439.7095453150905,2340.409862799562,2529.7662864675585
2611.951786074006,2494.6389059797702,2729.9609418687787
2796.364912636117,2656.7246868954667,2934.837899753299
2993.8107242148603,2827.4017950679345,3161.0702518809967
3205.208885794523,3016.827133931138,3402.148880531203
3431.5393196920068,3199.049217242565,3659.606537437985
3673.857400010143,3407.2427636537195,3936.5006104848408
3933.2902544042904,3624.5452562604723,4237.029968948122
4211.04238713088,3851.7272760312067,4574.109469370054
4508.399553400141,4092.1258050820456,4929.822343933545
4826.739914382184,4342.956931018241,5308.595719613931
5167.532767404234,4611.852934164932,5712.890556369194
5532.356142722929,4896.16230784393,6146.834893282637
5922.885909443609,5197.235913764028,6613.363837964312
6340.930802667938,5515.043990029068,7114.908447369633
6788.420546556061,5858.089861419272,7656.332161284549
7267.4085456557605,6224.02324730562,8240.71053128402
7780.0885513916155,6612.231206399223,8871.302918687972
8328.816717756734,7021.234790108007,9549.98268527606
8916.085073860046,7446.740561373887,10279.727693632656
9544.575810166909,7892.461362432964,11064.337603159833
10217.135245286701,8363.421304132326,11908.672006952162
10936.808362420175,8860.789162180921,12817.881762419396
11706.840538987983,9390.883927284647,13795.169662717697
12530.690571330137,9950.180331549142,14845.402983408912
13412.051683452597,10541.002640814042,15973.084726614878
14354.851123965658,11164.974489708755,17178.776819347946
15363.276052260533,11823.790217745602,18473.627728066585
16441.783381199013,12519.216389940786,19864.02151214778
17595.113876386018,13253.073956022945,21356.763114469282
18828.30588840474,14027.274101282776,22959.089762956184
20146.718812897416,14843.811610233708,24678.72554791506
21556.03637166012,15704.759214195874,26523.870303663258
23062.297609506593,16612.261425828237,28503.274658518585
24671.90029396208,17568.54029974048,30627.783576657726
26391.628864103037,18575.944858318362,32906.96770288763
28228.66077244279,19636.885502429526,35350.37120342409
30190.591245888827,20753.89210186307,37969.106709348074
32285.44441423276,21929.588065841606,40774.948006588136
34521.68423936902,23166.70725315173,43780.32237136449
36908.23231609039,24468.092807585985,46998.336406678995
39454.47578190602,25836.71109900929,50442.796150886556
42170.284987248866,27275.675738165948,54128.24535860819
45066.01266839105,28788.205790434375,58069.90654865802
48152.50493909305,30377.7155534506,62283.772251174436
51441.106895262164,32047.791644796645,66786.61652820393
54943.64435333696,33802.18790822977,71595.86694547406
58672.43388512495,35644.892072912146,76729.69681225467
62640.255165593204,37580.08609349214,82206.9444550654
66860.34274092308,39612.305401691134,88047.09551512456
71346.34400757043,41787.3492330772,94270.21608762821
76112.29021902145,44080.74943312728,100896.86381949877
81172.55577333058,46493.53858690074,107947.95596344348
86541.79439401248,49032.26149433445,115444.84120374206
92234.87403162487,51703.99834004368,123409.01141519823
98266.78514514821,54516.36267287529,131861.97044596137
104652.54190777714,57477.66332152142,140825.18466726644
111407.08268581526,60596.89025850512,150319.6995388684
118545.10306333055,63883.87147819808,160366.01927500282
126080.93471324061,67349.30227042356,170983.7757549695
134028.34806135367,71004.87891197692,182191.43151167105
142400.3574974403,74863.3177826925,194005.9257567174
151209.02279963382,78938.55232964418,206442.29136493566
160465.18127643885,83245.67705773693,219513.29247539525
170178.204095509,87801.19228388324,233228.8182371776
180355.69505482513,92622.95987438329,247595.58570036103
191003.17514378938,97730.34637770537,262616.4357093668
202123.74504734602,103144.19709647246,278289.84588703373
213717.75644299647,108886.81837192216,294609.3052782426
225782.44491911834,114981.92584313679,311562.7498286017
238311.5648031431,121454.51829560552,329131.9210723052
251294.99327879792,128330.72752342474,347291.7516008336
264718.3939926916,135637.73949757934,366009.78979775123
278562.8276713333,143403.58015938304,385245.62760489056
292804.44599052897,151656.6029862479,404950.4068936856
307414.1640033517,160424.70051156753,425066.3888537703
322357.41823261534,169734.72710935498,445526.6011437482
337593.9482469165,179612.29053369493,466254.6058152933
353077.6707702943,190080.87026917742,487164.44184271875
368756.64634846186,201160.655543485,508160.73218257027
384573.0914280692,212867.14435546214,529138.8850458486
400463.5299986982,225210.92938564444,549985.5763885383
416359.0471137481,238196.54850016674,570579.4263493936
432185.6657086416,251820.5036612975,590791.9137141821
447864.87407375826,266071.0218442566,610488.5968687363
463314.2255718495,280926.70640826435,629530.3535189399
478448.0970965674,296355.6899067571,647774.9840706484
493178.5611850685,312314.9119078347,665079.0759931665
507416.3436069084,328749.5357108924,681299.877720329
521071.9080769732,345592.77391902206,696297.4055460682
534056.5766251979,362765.8927619742,709936.6854356481
546283.7173337518,380178.63762796274,722089.9122515426
557669.9546021299,397729.66641299834,732638.6745723087
568136.3233688996,415307.9773427417,741476.1035782486
577609.4609742588,432794.0815738962,748508.8219531167
586022.7097565514,450061.74738663837,753658.8260420924
593317.1088688227,466954.0094152481,756865.118942216
599442.2591796995,483221.74528315454,758084.7932371256
604357.0779402092,498878.53487694287,757294.0870916819
608030.3911193709,513794.28334773483,754489.030500081
610441.3237028486,527495.2152355994,749729.9104667786
611579.5179675643,539978.4934822357,743013.0613540148
611445.1745076546,551685.8814926709,734389.7205798202
610048.926002299,559399.8867657507,723932.4011470259
607411.4963660311,564640.4265446753,711730.4668600048
603563.229512674,567147.9402763357,697888.3920028589
598543.4397093208,568451.0273022654,682524.0459374229
592399.6801629282,567189.884536085,665766.6583717277
585186.8862869005,562460.2498737609,647754.6148860776
576966.4260179762,556011.6946593852,634471.4759155684
567805.1180997967,547596.7463039326,623195.6824101787
557774.2016899753,537953.7366769462,618176.9695450334
546948.3148967223,526716.0743328637,610436.7188658454
535404.4818366077,512841.6158980152,600578.4649766223
523221.1272368983,498530.86654110183,590703.1479101224
510477.1401046164,481894.82180767175,584632.8625055756
497251.01328082517,464624.8121513302,577370.5337484148
483620.0583701283,446252.4296954409,568999.1211415605
469659.6781069658,427804.71095412876,559606.7195821286
455442.74879723263,407369.7399387419,549285.0604544375
441039.0986635474,386401.84961483115,538128.0628652635
426515.06587761047,366489.3396869069,526230.417958333
411933.12352678203,346379.25161445834,513686.43628468853
397351.63276799227,325548.6118985155,500589.03586025216
382824.65224370634,305887.9673550122,487028.79732661485
368401.8285656113,285140.54886555125,473093.00697713206
354128.3329717544,266625.8671209839,458865.0818834388
340044.88010172854,248992.89096788253,444424.0145939918
326187.8006871346,232269.65386960417,429844.1103107675
312589.14964966045,216328.1396092102,415194.4786754289
299276.8545682696,201171.625123408,400538.9435695878
286274.88519582356,186797.28949252336,385935.97541488195
273603.4597571598,173196.97142044068,371438.6494181085
261279.268080558,160357.87372000812,357094.7045232083
249315.70368041974,148263.25278160855,342946.68664390023
237723.09855925615,136893.04442570618,329032.11990096944
226508.9693962225,126224.47525034228,315383.7056351182
215678.2606222776,116232.61873357103,302029.5733813425
205233.58018094875,106890.92445661704,288993.5564391165
195175.4293188177,98171.64178385123,276295.4577821639
185502.43145780163,90046.26794544674,263951.3814350921
176211.548099028,82485.84492843796,251973.91913092043
167298.27831587946,75461.31064471745,240372.5583444914
158756.84179463785,68943.77639506139,229153.91480819153
150580.36257341257,62904.739483080426,218322.011166889
142761.04300260742,57316.28024900306,207878.55039218382
135290.30650968433,52151.16595011052,197823.197425994
128158.93628270143,47383.04296965916,188153.77537636727
121357.2046159502,42986.52125825742,178866.51766477656
114874.98932701739,38937.23691325312,169956.25821143345
108701.87136143867,35211.86423826229,161416.61344794853
102827.23571182048,31788.19525245772,153240.21397578766
97240.35239147503,28645.155490372606,145418.8582983004
91930.44152029026,25762.770327149556,137943.64210129378
86886.74150666894,23122.180406683263,130805.093323019
82098.56263862463,20705.613303892605,123993.25876888973
77555.3397336873,18496.371258087267,117497.87699460468
73246.66777578852,16478.799394497953,111308.46048541479
69162.34027745557,14638.23512296327,105414.39376938003
65292.37386083913,12960.95898782702,99804.96487203857
61627.03203199318,11434.181693870953,94469.44053207802
58156.8472349303,10045.98318713226,89397.14825200521
54872.635141597755,8785.285859943528,84577.53041231625
51765.50785477199,7641.800970733129,80000.18517822113
48826.87531196811,6605.966751450011,75654.86500603962
46048.454150221005,5668.922280722618,71531.54059736567
43422.26903949815,4822.454776218998,67620.42210097406
40940.65417384422,4058.9686211911394,63911.969973748135
38596.25229547064,3371.4588927214136,60396.91536965468
36382.010239056915,2753.4418053779373,57066.273829914295
34291.177840082586,2198.942601870189,53911.35705322708
32317.300775357966,1702.4436337626903,50923.77560350664
30454.209889886322,1258.874658381308,48095.432335240344
28696.02397470241,863.5705244708188,45418.54926261649
27037.131584970117,512.2315223415171,42885.64185569527
25472.18922624176,200.91211904345982,40489.521697246375
23996.10731916459,-74.02708766761498,38223.28726606745
22604.043635205606,-315.9174065836705,36080.3357225474
21291.39341352643,-527.8328038422587,34054.35933203405
20053.793269616297,-712.5653143013624,32139.3393183027
18887.099969814524,-872.6773045286318,30329.512415766163
17787.376073641106,-1010.525920407792,28619.375885608464
16750.887945928775,-1128.2686367242386,27003.68019817833
15774.09972676493,-1227.8751215369975,25477.425343913623
14853.660045721797,-1311.1467480834544,24035.850617254928
13986.395046287822,-1379.7315440223847,22674.433169394535
13169.297582741205,-1435.1384447541677,21388.871611733193
12399.525087661727,-1478.7387760675974,20175.094057102186
11674.392659226265,-1511.7741398286307,19029.21953143509
10991.361047255985,-1535.3858132503356,17947.585801311612
10348.023788418684,-1550.6109910838659,16926.68229544806
9742.110981005979,-1558.395802709625,15963.12761400888
9171.47773212694,-1559.6040528847425,15053.78973611214
8634.098578993362,-1555.004599805503,14195.721108951275
8128.056984930741,-1545.3188553089076,13386.09831806205
7651.5487723248025,-1531.1881875853524,12622.218638045082
7202.871018740068,-1513.18708506236,11901.540339151701
6780.413507104242,-1491.8436769432865,11221.675808140508
6382.658626564566,-1467.6302646590993,10580.359694988509
6008.171128294928,-1440.9793281404272,9975.426430705811
5655.604925581892,-1412.2669956392529,9404.84919046356
5323.681113155256,-1381.851099775673,8866.69555224069
5011.200180407178,-1350.0374274352316,8359.151354427377
4717.033070463402,-1317.1048814235737,7880.503551120514
4440.1115160767995,-1283.3183017445872,7429.125178394163
4179.430261114815,-1248.9105052665345,7003.481317933049
3934.03908692527,-1214.075473951943,6602.1030749259435
3703.0438341867307,-1178.9593860544442,6223.620864901861
3485.607892378494,-1143.7484225252797,5866.746819894532
3280.938090916142,-1108.5629160779717,5530.254430067618
3088.2875094689643,-1073.5399366227284,5212.995669803964
2906.9507367603082,-1038.777300869674,4913.888766271053
