deaths_mean,deaths_lb,deaths_ub
0.0,0.0,0.0
0.0026351023709365517,-0.0028776429891067545,0.00512233659783448
0.009875475057764739,-0.010124873940579437,0.019010103125674336
0.02089133147365508,-0.020249493588597137,0.03972531064340814
0.03525126887576104,-0.03256708655834737,0.06609119682548598
0.05274465226262582,-0.04612836495447017,0.09767820757975484
0.07336125429274035,-0.06029787815030624,0.1339011659368491
0.09723587747992471,-0.07454682321593203,0.17481774835870312
0.12463057432007282,-0.08839948588906815,0.22071919414634222
0.15595661305021258,-0.10133718553339494,0.273103640783045
0.1916557243644494,-0.11234467818090915,0.33168643819788746
0.23229764908998216,-0.11928858377811627,0.39949086067264505
0.2786328344271938,-0.12298955083399121,0.4720402352301022
0.3314576783289856,-0.12344750800312465,0.5528595246608832
0.3917770274366292,-0.11995805786436958,0.6445453214020662
0.4606704041899773,-0.11189885268744915,0.7471661857285667
0.5395690089794739,-0.09856709140673003,0.8622244525768328
0.6300056074903446,-0.07871414737089455,0.9909848236389622
0.7336788502081584,-0.045865516354761215,1.1352002556851737
0.8527451305160247,0.004540072826325847,1.296796507501311
0.9895652117388961,0.07086039459359506,1.4865003998957913
1.146772806880379,0.15648102148459664,1.697886750231686
1.3275650040250917,0.2656097187727626,1.946156204932267
1.535679973590199,0.40273567678805167,2.2317087900828456
1.775322436500964,0.5567973019856449,2.5382470076745687
2.0513601156279764,0.7224329034095676,2.8961465523982985
2.369250950667919,0.8731504950779234,3.301090865746947
2.7345380995669255,1.075986709280448,3.7570978077564794
3.152542861992837,1.3727672978099852,4.266903724997787
3.628397721151241,1.7213446784517101,4.8519872409016145
4.166190471099477,2.124827752977108,5.506651959626035
4.768774296442011,2.587172640736777,6.235853662203471
5.437868441745536,3.1109985106237774,6.9944025579670575
6.174629670241042,3.698164644356229,7.865479865201344
6.980052697919362,4.350282168816712,8.80594046677742
7.8551519996661705,5.069191386165592,9.81676730233521
8.801049286398175,5.85613288905256,10.899580862723901
9.819073237390446,6.713210612525769,12.096267596131167
10.910561492353201,7.661146308103447,13.410600836003223
12.077388392978877,8.741999988189086,14.787333580965377
13.321475849871454,10.030335097494035,16.15344157839327
14.64498498455201,11.26384174485274,17.604511914210065
16.050356081982613,12.412376881073502,19.23310884244797
17.540429061932883,13.810396559060266,20.954623887921436
19.11818194539868,15.29731176637635,22.771540345942498
20.78695777643409,16.876301121177157,24.687294732782345
22.54957851190288,18.412243059473607,26.704146855210443
24.41047149688215,19.844078584166912,28.82759651257906
26.37559268884657,21.429998080360278,31.066074150327747
28.44366771715911,23.32961839536349,33.412625176719345
30.6242991959128,25.345545226365147,35.88235245049385
32.9208624361156,27.479224301628314,38.522809293028295
35.33799119708134,29.73526908731597,41.22453321299618
37.88248544683297,32.122463207738875,44.18377939042081
40.5588648767505,34.49193484096257,47.29416906268824
43.37435101422211,36.99512735736738,50.40987912252241
46.33535713473644,39.64851757220763,53.63109558841288
49.44904360404966,42.28515400103618,57.02831080585945
52.72244747324698,45.049503399299006,60.83169721315985
56.161760700412096,48.01614096920363,64.71463344446951
59.777064765600116,51.19398459862073,68.62859270790355
63.57655031933407,54.55420680110274,72.74662936407209
67.56894922177904,58.10381777279754,77.17535917509275
71.76381127084233,61.85234084954557,81.73104905374184
76.171148365376,65.81077227044801,86.70007491861561
80.80140308919376,69.76647986319,91.91379701685239
85.6657033142021,73.53509442868955,97.59267487781675
90.77580941861768,77.45454645666602,103.64224943113817
96.14377717509517,81.5298375562666,109.51558108861597
101.78262028705119,85.76649569416824,116.4986395826836
107.7056976205392,90.10979757458178,123.82979668821442
113.92746497397856,94.74477813375444,131.30044077141378
120.46270443984965,99.49789727960305,139.17490068607106
127.327177091019,104.43475318253343,147.43352218271912
134.53747222689984,109.56154311574446,155.70776374629543
142.11096091828696,114.88463920472296,164.9950007899369
150.06590704494698,120.41062978170808,174.85685829278594
158.4214512850283,126.14580382358056,185.4030023279944
167.1977904309052,132.10028359241184,196.23946517701586
176.41616678916472,138.27192976774776,207.8327409246371
186.09873251554544,144.67566917774164,219.56321994140148
196.26885804136143,150.99000836496577,232.19813372691655
206.95117560190144,157.5628204922345,245.51335748426533
218.1714635746393,165.34023907396767,259.5449659424612
229.95688668677897,172.7374702972262,274.3316501606953
242.33588629134837,180.40192755653663,290.63180731710247
255.33836312520842,188.3413976879042,307.94775043351694
268.9958182840152,196.5639805976923,326.2320643869606
283.34117414194054,205.07730418608008,345.5377196001409
298.40916574155085,213.8899621283333,365.6153414619562
314.2361638517476,224.44739735964743,385.4402124869582
330.86035710690453,235.94962395708967,405.95820309424266
348.3218663991933,248.0039677680864,428.5584848646413
366.66286296990006,258.55012053188847,453.57160047064576
385.927570302177,267.8695341020731,479.9793136510092
406.16245790287945,277.37772375167265,507.8580861759322
427.4162138720883,287.0681750425896,537.286447434948
449.740093348311,296.9341458980671,568.3485372514326
473.187800985479,308.02746553023576,601.132303399653
497.8156375802588,320.2852979710349,635.109215450877
523.6827810584653,332.93275839061596,670.2927794000614
550.8514060927732,345.9774379800641,707.4425717495442
579.386518998238,359.4266976369187,747.9278547865474
609.3565490665586,373.2880557873335,789.9500760476462
640.8330382790305,387.5683307897574,834.0538621550687
673.8911810627022,402.274760706518,881.7065599934347
708.6098982862013,417.4137937505934,932.9927259126094
745.0716621789704,432.99063786722263,986.0659966988403
783.3632393635405,449.01110340987134,1043.0700685204379
823.575407029365,465.4806126991407,1103.2287787096684
865.8032854625451,482.403339357714,1166.6882579205098
910.146748854405,499.7874136377718,1232.965373611999
956.7102035007865,517.625342862566,1300.801631363002
1005.6030034187329,535.8371928377564,1372.250706581785
1056.9399178977758,551.280866097838,1447.4996537330371
1110.8407874287097,566.8104110864899,1526.744032787555
1167.4313161955972,582.3953583824048,1610.3681042886046
1226.8429044127265,598.0019579330892,1699.6706993121393
1289.213129153648,613.5933080735392,1793.7399966264147
1354.6856290236913,629.1290569103617,1892.8192024851674
1423.410937702199,644.5658979222867,1997.163728173471
1495.5462128758768,659.8579590779673,2107.040655573524
1571.2555859674703,678.7527484084058,2222.7296673272017
1650.7107212281312,698.9680253714118,2344.5232948074326
1734.090668579216,719.4563419152205,2472.7272104250887
1821.5824581815089,740.1985708896418,2607.6611743537687
1913.3811589157847,761.1732636654456,2749.659128883663
2009.6900637222946,782.35812229453,2899.069549067558
2110.7213037345523,803.7286693950027,3056.2565835864134
2216.695751386132,825.2585978304382,3221.599376066544
2327.84347011501,846.9194898140267,3395.4937137383604
2444.4038074557634,868.6811394520009,3578.351649046569
2566.62584813627,890.5114469611763,3770.602361652114
2694.768381877978,912.3774780733629,3972.691885939776
2829.1003014658904,934.243620800632,4185.08433024236
2969.900702390042,956.0732716647899,4408.261630869864
3117.459120871407,977.8287624617797,4642.724012762317
3272.075670334721,999.4708188823834,4888.9902479033735
3434.0611984526395,1020.9599476962303,5147.5979332714
3603.7373379090427,1042.2558773160827,5419.103477934816
3781.436595939491,1063.3179708273483,5704.082257876579
3967.5023913669597,1084.1061009845243,6003.12858345126
4162.289113483695,1104.5811245414297,6316.855783120654
4366.161938614836,1121.0514202002378,6645.895778228557
4579.496874623398,1132.7459626673253,6989.403898110718
4802.680457287973,1143.3462689410098,7348.1313716475015
5036.109638346124,1152.8006416031621,7723.957781089681
5280.191579280369,1161.0630059019768,8117.575194872903
5535.343100655228,1168.0965561663106,8530.96363651874
5801.990403001622,1173.8732725353311,8969.66018979213
6080.56847225551,1178.377741941411,9428.859728372106
6371.52061726933,1181.6075729612403,9909.337985266096
6675.297586097933,1183.5763005812714,10409.34880898465
6992.356951556383,1184.3155340731373,10930.05646293409
7323.162236856183,1183.8767621444986,11474.100994843822
7668.181705405488,1182.3352592381252,12042.281026004533
8027.8875576383325,1179.790222269372,12635.3989341942
8402.754553994644,1176.371153993081,13254.25878059964
8793.258674918567,1172.236406452852,13899.663877764437
9199.875812990174,1167.580576887678,14572.413731281802
9623.080044741224,1162.6331880450198,15273.300451634945
10063.342062637728,1157.6653092662164,16003.106341446932
10521.127302309947,1152.9894105018138,16762.59958122562
10996.89426250606,1148.9649450026445,17552.530915901403
11491.092131749856,1145.99857340159,18373.629590660355
12004.158962652235,1144.5490691209852,19226.599044702685
12536.519405293033,1145.1282379392942,20112.112595353472
13088.582314241741,1148.303309140727,21030.809631217428
13660.738507769633,1154.6987022770627,21983.289970336315
14253.358241686416,1164.9972481603509,22970.109402902286
14866.788797343523,1179.9413747914004,23991.776119724578
15501.351882344734,1200.3335299769824,25048.743817461087
16157.341297824845,1227.0360801805618,26141.40812813138
16835.02011703488,1260.9703174636197,27270.10240889713
17534.618350090583,1303.1155508148368,28435.090838708944
18256.3305380448,1354.5064104029589,29636.56532965919
19000.313200722037,1416.2302542048637,30874.641786773587
19766.682625842423,1489.424275411715,32149.3533034488
20555.512579091508,1575.2698944348158,33460.64757441557
21366.832308545447,1674.9883311158337,34808.38403896946
22200.62460130287,1789.8358394821407,36192.328405354194
23056.823924061107,1921.0950582408404,37612.15089961876
23935.3149447162,2070.0686429620837,39067.42327232995
24835.93119328949,2238.0727829725656,40557.616166372056
25758.453934124762,2426.4265510281984,42082.0982349785
26702.61132305671,2636.443904530912,43640.13385735228
27668.077810782313,2869.425576824644,45230.88355674229
28654.473768325224,3126.647469525975,46853.40316491427
29661.365542399613,3409.351802854275,48506.64450060304
30688.265590123163,3718.7379207807026,50189.45713412035
31734.633191669687,4055.95139461488,51900.58901603416
32799.875212605584,4409.899964454613,53638.69019992231
33883.3473295246,4719.783039630107,55402.31488859069
34984.35540294908,5052.5434090772615,57189.92525498968
36102.15731345856,5408.892028748945,58999.896272090395
37235.96492223567,5789.4739496029215,60830.51942620368
38384.94635183867,6194.866706224857,62680.00913677657
39548.228575180605,6625.572714499547,64546.50774202656
40724.900171814596,7082.015086975633,66428.09231438741
41914.01430853948,7564.533386924173,68322.78142715138
43114.59188829541,8073.379845571675,70228.54181622634
44325.6248555437,8608.716291430523,72143.29625675187
45546.07971879841,9170.612445083389,74064.93099365526
46774.901160311245,9759.044240388743,75991.30387008272
48011.01567550544,10373.893043275166,77920.25233175821
49253.335365874875,11014.945791356251,79849.60179578287
50500.76163968674,11702.005860625213,81777.17331880936
51752.18909660913,12504.474178529126,83700.79277990005
53006.50912925859,13336.651549361297,85618.29785107229
54262.613831496834,14197.763347722503,87527.54685438465
55519.39964364195,15086.936014625768,89426.42681538247
56775.770841882346,16003.202309149056,91312.85970495503
58030.64295024529,16979.938687500675,93184.81164748079
59282.9462223913,18051.735390757953,95040.29805525477
60531.62865699204,19148.562571644026,96877.39150754857
61775.65918348301,20268.88355207941,98694.22818785801
63014.03033656153,21411.108966891974,100489.01189913362
64245.761035275085,22573.605237815646,102260.02159863169
65469.89895946477,23754.70296408367,104005.61448757302
66685.52278648132,24952.705206900893,105724.2316714614
67891.74429039066,26165.89676970792,107414.40091535295
69087.71007886787,27392.55248175218,109074.74114061327
70272.60327078777,28630.94245417058,110703.9639269504
71445.64474994701,29793.597255142246,112300.8771361945
72606.09448970725,30790.03478941256,113864.38526023085
73753.25235636882,32068.107086819073,115393.49215342522
74886.45894141294,33351.25882446555,116887.3001011337
76005.09601859355,34637.82779142707,118345.01173073445
77108.58708821169,35926.18777448032,119765.92835580712
78196.39721760135,37214.753357968046,121149.45043860466
79268.03336403194,38305.2144315528,122495.07545521908
80323.04394037163,39076.373371576134,123802.39752932043
81361.01852470986,40134.596467178155,125071.1040695253
82381.58741603162,40971.97159613957,126300.97511179905
83384.4210216793,41805.599107675254,127491.87925348827
84369.2290708563,43043.47576469273,128643.77248418484
85335.75974790863,43901.024244234926,129756.69323220666
86283.79874005956,44935.0419210587,130830.76064159426
87213.16819531184,46065.39450747105,131866.16997509447
88123.72547856483,47185.38487904366,132863.18890287445
89015.36206385013,48294.09955388251,133822.15427278413
89888.00232403305,49390.68328898208,134743.46756565224
90741.60205749086,50474.33846760167,135627.59108528536
91576.14722797846,51544.322463633434,136475.04369972576
92391.65260296079,52599.95037569394,137286.3967223366
93188.1603629671,53640.59333785219,138062.2700791128
93965.73852750091,54665.67684055312,138803.32733037506
94724.47968725041,55674.68285373342,139510.27234416569
95464.4994390165,56667.1439180593,140183.8447297001
96185.93519477085,57642.644722808385,140824.81607751735
96888.94447494508,58600.81831132117,141433.98618418165
97573.70382317164,59541.34745615636,142012.17855654925
98240.40721414468,60463.959677206265,142560.23810264736
98889.26484805779,61368.42853431316,143079.0255855418
99520.50174497679,62207.18730231942,143569.41640883128
100134.35647366245,62892.63555906669,143919.00916205166
100731.08021701065,63563.68811711413,144231.96299643462
101310.93493501395,64282.63826797923,144514.97692378104
101874.19293814251,65233.994742390554,144769.06066923012
102421.13523740492,66161.61097580745,144995.22937381503
